name,RA,DEC,zlens
J1345-0129 | 164 | SDSSJ134507.63-012939.8,206.28179,-1.49439,0.4883 | 0.488337 | 0.4884
J1615+2056 | 174 | SDSSJ161523.55+205636.3,243.84812,20.94342,0.5893 | 0.589339 | 0.5894
SDSSJ161846.74+193026.7 | 177 | J1618+1930,244.69475,19.50742,0.4906 | 0.490757 | 0.4908
SDSSJ1237+5533 | 13.0 | SDSS J123736.2+553343 | DESI-189.4008+55.5619,189.40082,55.56192,0.4099 | 0.41 | 0.41 | 0.427947999999999
DESI-190.1345+45.1508 | SDSS J124032.3+450902 | CSWA3 | 3.0,190.13453,45.15072,0.225563 | 0.251 | 0.274 | 0.274
DESI-118.8480+34.7610 | SDSSJ075523.52+344539.5 | SDSSJ075523.52+344539.5 | UNIONS J075523+344539 | AGEL 075524+344540,118.84798,34.761,0.7224 | 0.7224 | 0.7224 | nan | nan
DESI-173.3049+50.1444 | SDSS J113313.2+500840 | RXJ1133 | CSWA12 | 12.0,173.30495,50.1445,0.242596 | 0.37 | 0.394 | 0.394 | 0.394
SDSS J122718.7+172551 | DESI-186.8292+17.4324 | CSWA9 | 9.0 | AGEL 122719+172557,186.8284,17.43143,0.308 | 0.366 | 0.37 | 0.37 | nan
SDSSJ1306+0600 | SDSSJ1306+0600 | SDSSJ1306+0600,196.5569,6.00614,0.17297 | 0.173 | 0.173
SDSSJ1313+4615 | SDSSJ1313+4615 | SDSSJ1313+4615,198.26219,46.25378,0.18479 | 0.185 | 0.185
SDSSJ1318-0313 | SDSSJ1318-0313 | SDSSJ1318-0313,199.66388,-3.22618,0.23965 | 0.24 | 0.24
SDSSJ1319+1504 | SDSSJ1319+1504 | SDSSJ1319+1504,199.8854,15.0739,0.15369 | 0.154 | 0.154
SDSSJ1436+3640 | SDSSJ1436+3640 | SDSSJ1436+3640,219.02346,36.67976,0.18462 | 0.185 | 0.185
SDSSJ1644+2625 | SDSSJ1644+2625 | SDSSJ1644+2625,251.17952,26.42374,0.13682 | 0.137 | 0.137
SDSSJ1709+2324 | SDSSJ1709+2324 | SDSSJ1709+2324,257.41233,23.40234,0.34689 | 0.347 | 0.347
SDSSJ1719+2939 | SDSSJ1719+2939 | SDSSJ1719+2939,259.89233,29.65732,0.18073 | 0.181 | 0.181
SDSSJ0819+4534 | - | SDSSJ0819+4534,124.88304,45.57912,0.194 | 0.1943 | 0.19432
SDSSJ0959+4416 | - | SDSSJ0959+4416,149.75402,44.2776,0.23687 | 0.2369 | 0.237
SDSSJ1029+6115 | SDSSJ1029+6115 | -,157.36471,61.25146,0.157 | 0.15736 | 0.1574
- | SDSSJ1420+6019 | SDSSJ1420+6019,215.06604,60.32078,0.0629 | 0.06291 | 0.063
SDSSJ1432+6317 | - | SDSSJ1432+6317,218.05558,63.28438,0.123 | 0.123 | 0.123
- | SDSSJ1443+0304 | SDSSJ1443+0304,220.83175,3.06896,0.1338 | 0.13383 | 0.134
SDSSJ1614+4522 | - | SDSSJ1614+4522,243.65725,45.38148,0.17787 | 0.1779 | 0.178
SDSSJ1618+4353 | - | SDSSJ1618+4353,244.67958,43.89094,0.19883 | 0.1989 | 0.199
SDSSJ1718+6424 | - | SDSSJ1718+6424,259.6558,64.41451,0.08987 | 0.0899 | 0.09
SDSSJ2302-0840 | - | SDSSJ2302-0840,345.58408,-8.68041,0.09 | 0.0901 | 0.09012
- | SDSSJ0955+0101 | SDSSJ0955+0101 | J0955+0101,148.83217,1.029,0.1109 | 0.11093 | 0.111 | 0.111
SDSSJ1029+0420 | J1029+0420 | SDSSJ1029+0420 | -,157.34558,4.33384,0.104 | 0.104 | 0.10444 | 0.1045
SDSSJ1032+5322 | J1032+5322 | - | SDSSJ1032+5322,158.14936,53.37635,0.133 | 0.133 | 0.1334 | 0.1334
SDSSJ1103+5322 | J1103+5322 | - | SDSSJ1103+5322,165.78421,53.3745,0.158 | 0.158 | 0.1582 | 0.15824
SDSSJ2141-0001 | - | SDSSJ2141-0001 | J2141-0001,325.47782,-0.02008,0.138 | 0.138 | 0.138 | 0.138
26.0 | SDSS J111310.6+235639 | CSWA26 | SDSS J111310.65+235639.5 | DESI-168.2943+23.9443,168.29428,23.94426,0.336 | 0.336 | 0.3361 | 0.3361 | 0.33614
PS1J2343-0030 | SDSSJ2343-0030 | SDSSJ2343-0030 | SDSSJ2343-0030,355.99556,-0.50616,0.1807 | 0.18073 | 0.181 | 0.181
J0151+0049 | J0151+0049 | SDSSJ015107.37+004909.0 | SDSSJ0151+0049,27.78075,0.81917,0.517 | 0.517 | 0.5171 | 0.5171
J0801+4727 | J0801+4727 | SDSSJ080105.30+472749.6 | SDSSJ0801+4727,120.27208,47.46377,0.483 | 0.483 | 0.4831 | 0.4831
J1337+3620 | J1337+3620 | SDSSJ133751.31+362018.1 | SDSSJ1337+3620,204.46378,36.33836,0.564 | 0.564 | 0.5643 | 0.5643
SDSSJ160113.27+213833.9 | SDSSJ1601+2138 | J1601+2138 | J1601+2138,240.30533,21.64275,0.5435 | 0.5435 | 0.544 | 0.544
SDSSJ0008-0004 | - | J0008-0004 | J0008-0004 | SDSSJ0008-0004,2.01237,-0.06895,0.44 | 0.44 | 0.44 | 0.44 | 0.44
SDSSJ0029-0055 | - | J0029-0055 | J0029-0055 | SDSSJ0029-0055,7.28243,-0.9307,0.227 | 0.227 | 0.227 | 0.227 | 0.22704
SDSSJ0037-0942 | SDSSJ0037-0942 | - | J0037-0942 | J0037-0942,9.4711,-9.70508,0.195 | 0.19545 | 0.1955 | 0.196 | 0.196
SDSSJ0044+0113 | - | J0044+0113 | SDSSJ0044+0113 | J0044+0113,11.01208,1.22018,0.11958 | 0.1196 | 0.12 | 0.12 | 0.12
SDSSJ0109+1500 | - | J0109+1500 | SDSSJ0109+1500 | J0109+1500,17.39048,15.00903,0.29388 | 0.2939 | 0.294 | 0.294 | 0.294
SDSSJ0157-0056 | J0157-0056 | J0157-0056 | - | SDSSJ0157-0056,29.4955,-0.94058,0.513 | 0.513 | 0.513 | 0.5132 | 0.92428
SDSSJ0216-0813 | - | J0216-0813 | SDSSJ0216-0813 | J0216-0813,34.21886,-8.22926,0.33165 | 0.3317 | 0.332 | 0.332 | 0.332
SDSSJ0252+0039 | J0252+0039 | J0252+0039 | - | SDSSJ0252+0039,43.18836,0.66622,0.28 | 0.28 | 0.28 | 0.2803 | 0.2803
- | SDSSJ0330-0020 | J0330-0020 | SDSSJ0330-0020 | J0330-0020,52.5505,-0.34775,0.3507 | 0.35071 | 0.351 | 0.351 | 0.351
SDSSJ0405-0455 | J0405-0455 | J0405-0455 | SDSSJ0405-0455 | -,61.39752,-4.93122,0.075 | 0.075 | 0.075 | 0.07527 | 0.0753
SDSSJ0728+3835 | - | J0728+3835 | SDSSJ0728+3835 | J0728+3835,112.02069,38.59048,0.20576 | 0.2058 | 0.206 | 0.206 | 0.206
SDSSJ0737+3216 | J0737+3216 | J0737+3216 | - | SDSSJ0737+3216,114.36864,32.27183,0.322 | 0.322 | 0.322 | 0.3223 | 0.32234
SDSSJ0808+4706 | J0808+4706 | J0808+4706 | SDSSJ0808+4706 | -,122.24495,47.1108,0.219 | 0.219 | 0.219 | 0.21946 | 0.2195
SDSSJ0822+2652 | J0822+2652 | J0822+2652 | SDSSJ0822+2652 | -,125.6763,26.87875,0.241 | 0.241 | 0.241 | 0.24132 | 0.2414
SDSSJ0903+4116 | J0903+4116 | J0903+4116 | SDSSJ0903+4116 | -,135.81329,41.2692,0.43 | 0.43 | 0.43 | 0.43032 | 0.4304
SDSSJ0912+0029 | J0912+0029 | J0912+0029 | SDSSJ0912+0029 | -,138.02211,0.48367,0.164 | 0.164 | 0.164 | 0.16419 | 0.1642
SDSSJ0935-0003 | SDSSJ0935-0003 | - | J0935-0003 | J0935-0003,143.93298,-0.05967,0.347 | 0.34749 | 0.3475 | 0.348 | 0.348
- | SDSSJ0936+0913 | J0936+0913 | SDSSJ0936+0913 | J0936+0913,144.00327,9.22661,0.1897 | 0.1897 | 0.19 | 0.19 | 0.19
